datetime,DCE.jd2005.open,DCE.jd2005.high,DCE.jd2005.low,DCE.jd2005.close,DCE.jd2005.volume,DCE.jd2005.open_oi,DCE.jd2005.close_oi
2019-12-03 00:00:00.000000000,4182.0,4182.0,4117.0,4148.0,98303,98174,100296
2019-12-04 00:00:00.000000000,4148.0,4185.0,4135.0,4148.0,103895,100296,107004
2019-12-05 00:00:00.000000000,4140.0,4162.0,4111.0,4124.0,110758,107004,113434
2019-12-06 00:00:00.000000000,4122.0,4170.0,4122.0,4130.0,132418,113434,121317
2019-12-09 00:00:00.000000000,4120.0,4125.0,3938.0,3938.0,280848,121317,139409
2019-12-10 00:00:00.000000000,3928.0,3933.0,3852.0,3872.0,199043,139409,130604
2019-12-11 00:00:00.000000000,3876.0,3911.0,3856.0,3867.0,148709,130604,139430
2019-12-12 00:00:00.000000000,3871.0,3898.0,3866.0,3867.0,109620,139430,143563
2019-12-13 00:00:00.000000000,3852.0,3868.0,3800.0,3807.0,209597,143563,154435
2019-12-16 00:00:00.000000000,3792.0,3820.0,3775.0,3801.0,149045,154435,165276
2019-12-17 00:00:00.000000000,3800.0,3830.0,3792.0,3797.0,164252,165276,167413
2019-12-18 00:00:00.000000000,3777.0,3825.0,3733.0,3813.0,185146,167413,161925
2019-12-19 00:00:00.000000000,3807.0,3821.0,3782.0,3805.0,149821,161925,161797
2019-12-20 00:00:00.000000000,3810.0,3835.0,3720.0,3725.0,230106,161797,176417
2019-12-23 00:00:00.000000000,3733.0,3739.0,3681.0,3689.0,225992,176417,199998
2019-12-24 00:00:00.000000000,3691.0,3725.0,3636.0,3691.0,386419,199998,200887
2019-12-25 00:00:00.000000000,3690.0,3707.0,3666.0,3671.0,198385,200887,220111
2019-12-26 00:00:00.000000000,3665.0,3686.0,3652.0,3661.0,187182,220111,228262
2019-12-27 00:00:00.000000000,3659.0,3678.0,3582.0,3585.0,281936,228262,240456
2019-12-30 00:00:00.000000000,3560.0,3588.0,3529.0,3558.0,315582,240456,252040
2019-12-31 00:00:00.000000000,3571.0,3605.0,3564.0,3592.0,246716,252040,245662
2020-01-02 00:00:00.000000000,3615.0,3636.0,3550.0,3553.0,292709,245662,263408
2020-01-03 00:00:00.000000000,3553.0,3574.0,3505.0,3508.0,301801,263408,285821
